useful,comment
0,Utilizing the pyramid structure in decision making.
0,I would like to utilize pyramid structure fro decision making.
1,I need to think what the important thing is and what to say at the first when I talk or report something to my colleagues.
1,I will try to use pyramid construction to organize my thought before I submit report to my boss.
1,I can apply the learning to my job in the time when I report about my business to my supervisor.
1,"We have problem of regaining Market Share in some models. We can use this concept to breakdown  problems and arrive at solution. 
Thanks."
0,I've learnt to communicate more effectively
0,This is applicable and help to improve communication skill
1,I would apply this tactic as a tool when I need to persuade my bosses to believe what I believe on demand planning.
0,On writing I can apply pyramid structure
0,I think it's helpful for me to solve business problems.
1,This would be some help for thinking objectively regarding any issues.
1,"When I have to give answer or idea to my boss.
I can explain more clearly."
0,.
0,I always check my conclusion logically
1,"The pyramid structure helps me express my opinions/proposal to others more effectively. "
1,now i can build my proposal much more logically and simpler than ever
0,we will make strong team for achieve the task
1,it will be helpful in commuting the reason behind choosing to do an activity or task.
1,I will definitely apply the pyramid structure to my office system of selecting contract bids from vendors in my organisation.
1,I able to apply the logical thinking with pyramid structure to share new idea with my collegue.
1,"My eldest son always speaks from the conclusion, so I would like to use this pyramid when talking with my son.."
1,I understand how can I persuasive the supervisor and I’ll use this.
1,I will use this pyramid structure to make a presentation.
1,I could use pyramid structure to be more persuasive
1,This course can help me clearing my issue.
1,I try to use the pyramid structure when I talk my opinion to customers.
1,I want to use pyramid structure when I report  supervisor.
1,This course can apply wiht my job to monitoring and advice with subordinate to meet the target.
0,When I give a presentation
0,"it's just a tool, but it is a great tool."
0,"sales promotion of Our products  "
1,By using Pyramid structure it will be simplify the way to peruse client for making decisions.
1,By drawing the issue to show whole information to co-workers So we can talk to specific area that not clear.
1,"Good example showed to understand about the pyramid structure how it can be apply in our daily work or life. It can be practice, especially for the issue arise or in doing the decision making."
1,"I'll start thinking more deeply, more philosophically to get my final answer.  This way of thinking  is very easy to understand, and useful for not only work but daily life. "
1,pyramid structure helps organise thoughts in a systematic manner which leads to a conclusion. SHowing the conclusion first with reasoning and evidence laters leads to much better presentation of facts and quick understanding of situation by all
1,The said learning could certainly not only help me to solve many problems related to my daily tasks in life & work but coming up with better or the best solutions to the problems.
1,"The pyramid structure is really useful may it be for your practical life or professional purposes. It gives more logical reasons to whatever decision you may end up to. "
0,Pyramid Structure is seem look like think first and then specific in each job
1,To classify which is the most important things of the answer
1,It would help me greatly in being more concise in my problem-solving
1,to think logically and have the conclusion to persuade my collegues
1,Take any problem you try to solve in life and organize from top to bottom with issue and then evidence and reasoning.
0,Daily life
0,Pyramid Structure is very practical. I can try to apply that for various issues.
1,To overcome the challenging to convince others by applying the pyramid structure
0,Used to solve daily business problems.
1,Breaking down the thinking through possible solutions and identifying the supporting evidence
0,"When I explain my thinking, I'll use this structure."
0,Yes
1,"This is very important, because the steps of pyramid structure helps me to be more precise when making a decision... "
1,"The tool is very useful for organizing information/thought to facilitate problem solving, decision making and communication."
1,to report my supervisor current issue and my thought efficiently
0,Yes
1,"I can apply this skill when I tell my thinking collegue and organaize my task for target achivement and so on. "
1,By making plan or collecting different eveniencde to do something in order to persuasive to seniors or related person
1,"It will help me to clearly understand the issues of my clients (instructors), then look for evidence in and around the premises of their business (centres), which might further assist me to identify the root cause of the issues faced by them and eventually organize my thoughts to deliver the solutions to my clients appropriately, leading to their business development (centre development)."
0,I don't know yet but at least I learn something new and feel interesting to learn with this course.
1,"It is very important to have enough evidence for the final decision. 
Like selection of vendors and various services will be much easier through applying the pyramid structure. "
1,Try to use pyramid structure on daily workflow to communicate clearly with the supervisor and head of departments.
0,thanks to you
0,Yes
0,In analyzing issues
0,For my job
1,When justifying our company services to the client or candidates
0,It is very helpful in daily conclusions and the logic to reach them
1,to consult with the way to do something with my management
1,Use similar logic when closing sales deals and persuading people to work with me. This type of thinking is valuable in virtually every aspect of my interpersonal life
1,"This is absolutely helpful for my job on a daily basis, putting in mind a solutions-based approach when meeting with clients. "
0,I will frame my sentences with the result is. Then reason on why I gave the result.
1,This can be useful in organizing my suggestions for company improvement. It is a good way to organize ideas and make the receiver understand better.
1,When solving a problem use the pyramid structure to organise my thoughts. Use the pyramid structure to pitch ideas to more senior management.
0,"presentation, mail, poposal"
1,This course can make me feel more confident on my decisions in solving business issues in the working environment.
0,Can make my suggestions persuasive
0,"Next, I would like to think a little more seriously what is the top of pyramid. "
0,I USE THIS FRAME WORK WHEN I DESCRIBE AND THINK ABOUT DAILY PROBLEMS.
1,I can use the this knowledge while preparing for the consultation meetings with the instrcutors (I can organise the key pointers/evidences in pyramid structure and discuss with the FC instructors).
0,As a helpful tool to restructure thiking.
1,Making some management decisions and reports on why a certain decision was made. It will also be very handy when making presentations on market evaluations and product comparison.
1,"Organized thinking is both effective and time-saving in decision-making. "
0,think about deeply
0,solving operational problems
1,"The visual chart is so useful, eye-friendly, and the audio is clearly understandable. Mapping down all the ideas logically and stating the core clearly is important for effective communication.  I will adapt this to my job as a meeting coordinator right away."
1,"The philosophy is we start work from the end backwardly to the beginning by asking us why constantly... Let the desired results be our starting point to start a project.
A more effective communication starts from a well structure mindset. "
1,Communicating effectively with breaking the information with evidences & constantly revising & updating is the key
0,it really enhances our knowledge
1,"I can apply the pyramid structure to negotiate more persuasively and effectively. "
1,This course can help me to do better analysis and report. it will remind me to check the logic
1,This logic sometime can help our presentation for speaking or writing.
1,I'll be able to apply what I've learnt from this course to reporting to upper management who are usually impatient to know the conclusion of a report.
0,how to make proposals for the management about whatever
0,This course will help in communicating effectively
1,This course will help me to resolve problem in our office. It makes me realize that before doing a argument I need to analyze first the situation or the problem to think of a better solution
1,"To think issues logically like pyramid structure contribute the conclusion reasonable, and to revise constantly is really important because we sometimes overlook some essential issues which support the conclusion."
1,by Applying this on methods of communication and identifying problem
1,I can apply this when I need to structure a plan of reaching the budget at the beginning of the year.
1,"The structure format to answer any complex problem "
0,Use this in CRT
1,Pyramid structure help us organized ideas and communicate effectively
1,Use the pyramid structure to organise information in convincing others.
1,Use this knowledge to convey messages more effectively.
1,Use it when handling more complex problem and situation
1,Begin with an ending mind
1,"This course is very useful when we plan to look for new supplier or new staff. "
1,This will help me to solve the problems and concerns that encountered by my customer.
1,"When I propose something, I will try to organize pyramid structure for the proposal, then, start to explain  from conclusion what I want to say most. "
1,"This course is crucial for every day in our life as we have to take lots of decisions every day. For example, if I have been given a duty to purchase a product from my superior boss, at the very first, I would conclude with the product name which I would like to buy. Then I would present some key messages with specific pieces of evidence, why this product is better than other products in the market. But before writing the report I would have to collect data and pieces of evidence to make the key messages which would help to conclude."
1,Pyramid structure is the useful tool to organize my thoughts.
0,"It's a simple method, but we tend to forget it.
It's a good reminder."
1,It will be good for entry level member to grasp idea of logical thinking.
1,I will try to start from conclusion in conversation.
0,Different issues & project will easly handle by the tool.
0,We will apply pyramid structure in our area with planed way to improve our work easy in shop floor & daily life.
1,I use a pyramid structure to explain my ideas to my boss and colleagues.
1,Clearly define the issue
1,"I will apply the pyramid structure to explain my opinion to my boss.

"
0,In my own business
1,I'd like to use pyramid structure to prepare the buisiness presentation.
0,"I am still having trouble listening to native English.
I think Pyramid Structure is good way of thinking. "
1,"The pyramid structure is very practical way of thinking to apply in our daily life. Not only in the business but also various areas when we make a decision in daily basis. "
1,I just started working at the headquarters organization. I will have many opotunities to explain the details of our projects to the exectives from now on. So I have to make the explanatory materials with pyramid structure to make them easier to understand.
1,This course can help me manage my daily life as it will help me to be a little focused and optimistic towards life.
0,La comunicación efectiva es extremadamente importante para que la información sea recibida correctamente y las decisiones sean acertadas
1,"When I tell my boss something difficult, I can use pyramid structure to make my state easier."
1,"人にものを説明するとき
上司に報告するとき
お客さまに説明するとき
部下に教育するとき
プレゼンテーションを始めるとき"
0,"clear the conclusion or thinking at first "
1,"I want to use  pyramid stracture.
In addition, I try to collect some evidence that support my oppinions."
1,I use this pyramid structure when talking to my supervisor at work. I want to use a pyramid structure to speak logically and clearly.
1,"When I want to pass some message, I think what is important message, and how to support it."
0,"I use pyramid structure at work.and want to be careful.
apply : I thought  to study English more.
"
1,"When I talk to people at work or in daily life, I speak while thinking about the structure or the story."
1,When I talk my opinion to someone who work same workplace
0,"reporting,contacting and consulting"
0,Pyramid Structure is most usefully for our operation /Job
0,I want to use this structure for my real life and in my job.
1,This is great for giving a reasoning for certain areas of UI development on a web application
0,It will help me to solve my problems to reach.
1,whatever the answer it should be supported by evidence
1,This is very helpful for thinking about more persuasive scenario planning.
1,Alway Thinking under Cause and Effect.
1,"Pyramid Structure help me to persuade my supervisor logically.
"
1,I need to suggest opinions to my client in my work. I think I can use this pyramid structure to create the opinion.
1,I can use this skill when I negotiate with costumers.
0,I will use this method before I will have a presentation in my business.
1,"I have to be noted: Explanation start from the conclusion by the key message by the evidences which are not reputation but the fact. "
0,in the office or my home
0,"Yes, it's really beneficial to communicate with stakeholders. "
1,"thinking what problem to solve, then what categories to include as framework, and then evidence to back up the conclusion "
0,to apply to my job for analyse the issue and resolve
0,This a tool which can use in analyzing issues and develop new strategies to overcome those issues
1,I can use Pyramid Structure to review my thoughts.
1,"The course help me to define and find the relevant information to any problem that affected our job. And to find a good solution for any problem at our working place and environment. "
1,"Using pyramid structure, I can organize my thoughts logically and convince my superiors about the issue in hand with relevant facts and figures using evidence and logic."
0,good one
0,Making marketing materials
1,when you want to persuade ideas and let them understand situation clearly and decide.
0,"I will report my boss the result or issue in daily working , to keep that in mind."
1,When talking to your supervisor about what options should be take in business.
1,I would like to make use of this course to make a plan of project.
1,I’d like to build a pyramid when I need to solve project issue.
1,I can use the learning from this course for making slide decks of several presentations.
1,"In Japan, we usualy put our conclussion in the end for the both verval communication and sentense.
The way of pyramid structure makes me realize that the conclusion comes first-style is much effective to convey what I wanna to tell to others.
I will apply this to my usual life."
1,"One of my task is study of efficiency for investments.
when I submit my proposal to management, I can convey my recommendation with this structure."
0,"I can use it in communication process "
1,I can apply this Pyramid structure when we decide what to present to others
1,This is my first online class and it truly made me interested to more ideas. I know I can apply the knowledge I learned about Pyramid Structure in future challenges that I might encounter in the future.
1,"When I explain what I think or want to do to others, this tool is very useful to explain it."
1,"In case there is a deal or convince on internal level or external level , will reach the conclusion first in our presentations or deals and then will be relay on and based on the key messages and then supported by the evidence. "
1,"When facing on the problem regarding the project management, this structure should be useful to find and solve the issue."
1,"To convince others or work with stakeholders more effectively, this tool is very useful."
1,The  Pyramid Structure would support decisions and gaining buy-in from all stakeholders.
0,communicate more inflent
1,相手に伝わりやすくするために結論から話し始め、理由をその後に話すようにする
0,Very helpful.
0,I want to use this skill in my workplace.
1,The importance of mentioning what i want to achieve first. That is informing the conclusion first and then supporting it with reasons
1,"By using the Pyramid Structure, I can propose to the management ideas that are carefully structured. My logical thinking skills can also improved by using this tool. "
1,"Absolutely, I can use pyramid structure to organize and re-organize my thinking and discuss with my co-worker."
0,I can apply to criticize the thinking to present my daily work.
1,This knowledge will be useful in communicating to stakeholders the various changes my business is adopting as our operations are adapting to the evolving Covid-19 landscape.
1,This is very necessary in presenting rational decisions and backed up by either qualitative/quantitative reasoning.
1,"This is a good way to organise thinking and also put forth a persuasive explanation so that recipients can understand the argument easily. "
0,for scientific activity
1,"This model would help in arriving at a good conclusion while facing some difficulties "
1,It helps me to think more systematically before communicating or presenting and report writing in order for the message to reach receivers clearly  and relevant information.
1,Can use this pyramid structure apply to supplier selection.
0,"Decision making "
1,"this will help in critical thinking, to solve business problems and communicate them to stakeholders"
0,"In the presentation of my ideas, solutions to my management"
1,I will be able to explain the logic of the proposal more clearly.
0,Need to get used to it
0,by checking the logic before presentation
0,Pyramid Structure is effective to clearlify the reason.
1,"I understand the Pyramid Structure. It helps us to clear the cmplex issues.
New word：cost effectiveness"
1,"When I need to establish new business, I’m going to the pyramids structure so that I can figure out what kind of business is suitable for us to start."
1,Will be useful for choosing between alternatives to reach a decision and persuading others to support your conclusion
1,This structure would help me to set the goals / conclusions first and to take necessary steps to achieve them.
0,use pyramid structure to organise thoughts
1,"I want to use pyramid structure. Because it’s effective, it’s scientific, and it’s from globis. "
0,"good help
"
0,Xxx
1,My Trainees will benefit from this new structure on how to organize arguments more effectively.
1,I can apply the learning from this course to my job think about sales promotion for sales increase.
1,I need to pick a sailing date to ship out each country's order every month. this course help me to clearly pick a correct shipping date for each order and to make my operation site be more efficient while preparing the orders.
1,I can use it when I have to choose solution of the problem for invoicing or other administration jobs
0,NA
1,"Now, I am preparing to propose  a new program in our laboratory. I want to apply pyramid structure my new program. "
1,I can apply this course to my daily life or job by using it to present information concisely in an easy to understand way.
1,I thought I can use this method every time I report to my boss.
0,"I'm using a Pyramid Structure just now , Because I'm thinking about business strategy."
0,Effective communication skills
0,I have to use this thinking during the work. I will apply the learning by reviewing.
0,"Input knowledge, and output to my job."
0,"To organize and put my thinking clearly in my job, I try to use this method."
1,ピラミッド構造を用いて論理的に思考し、ボトムアップ・トップダウンを繰り返することでよりよい選択をする。
0,the case of talking about my task with my boss
1,"I have not actually started working yet. I am a still trainee and studying about business skill from home.
I felt like this pyramid structure was very similar to deduction thinking. 
To answer the question, I think this pyramid thinking is used in everyday-life that I think I will naturally apply."
1,To comunicate with bussicess stakeholders more smoothly.
0,"I want to make use of the Pyramid Structure in my work. "
1,"Stating conclusion at first. "
1,"I would say that I can use this structure in the case for transferring the job to the person in charge,  presentation or report.
 "
1,"I will say a conclusion or the purpose of the conversation whenever I talk in business situation.
I have a weakpoint to collect many reasons to strengthen the matter, so I will practice deliberately searching the reasons in my daily life."
0,"I can use it when I talk about something to my boss.
I try to create Pyramid structure immediately."
1,Everything is conclusion first.
1,"When I suggest my idea to others,I tell the conclusion of my idea at first and then, tell some evidences."
1,"When I tell something to others, I use the Pyramid structure method to make the sentence more persuasive and more reliable."
1,"The most important thing is to make clear what is the conclusion at that time.
"
0,I want to be able to think logically using a Pyramid structure.
1,"The most important thing is to thinking ""why"".
"
1,"Pyramid structure is useful for telling for others effectively and logically
"
0,"As I am currently unemployed, learning tools such as this is great for the idle mind.
I could not wait to apply it on my next endeavour. "
0,in will help my critical thinking
1,will apply to my job to persuade my superviser and/or my counter part in the US.
1,上司への報告や関係者への提案資料作成に。
1," This learning is very useful to my job as an japanese language interpreter. It helps me more logical  thinking when having to explain, report , story telling in many issues because  the word ""understandable"" as this learning say is the most important thing of my career. "
1,"Since I'm working on a website, this will help me clearly identify the main target of the website where in can be an effective tool in disclosing information about our company. "
1,"This should help in determine the best course of action for problems encountered, given a set of constraints, and the overall relationships with regards to each other."
1,Improve reporting and general communication skills
1,"Knowing about the Pyramid Structure helps me to organize my thoughts, ideas and information that I will relay or share to my leaders. By presenting through this structure, it will be easier for me and my leaders to understand the problem and the possibilities of the solutions."
1,conclusion must be clear and the key message should not be assortment of fact
0,Learnt the tenets of organisational problems and solutions
1,This course is really very knowledgeable and it will help in decision making in all aspects of business. And it will be applicable from top to bottom vis-versa in the hierarchy.
1,I would like to apply the pyramid structure to my job by making clearer what I want to say at a meeting.
0,Very nice
0,"very useful, I should try this"
1,This will help me draw out my report and analysis that is needed for top management info for decision-making.
0,"I think I could utilize when I have brainstorming sessions internally. "
0,"of course, add up to my daily work and life by adjusting and adapt."
1,I will apply this idea in case of presentation of techical solution to solve development trouble.
0,I’d like to use the learning to persuade my stake holders for my tasks.
1,I would like to use this pyramid method when I make up a conclusion for complex matters in my job.
1,Make what I should solve clear before starting the task which I am given.
1,Use it every day in discussion on finding solutions to business issues
0,Pyramid structure understanding is important to amking presentation.
0,"Could apply on reorganising the incentive support program for dealers which expected result is not satisfying. "
0,I will use this structure to explain my ideas
0,I may try to follow the Pyramid approach when reporting works to my Mgr or other seniors next time
0,to present new biz plan effectively
1,"This is a useful tool or methodology that I can apply for energy planning and analysis. "
1,"Putting the conclusion 1st, makes it immediately CLEAR, and then supported by the organized reasons."
0,改めて、体系的に習得することができた。意識して実務上のコミュニケーションに活かしたい
1,"I can report my headquarter information in a more conclusive way by using this learning . Information in organised way is easy to process and understood by others. 
 "
1,"As a manager, with this course can objectively guide me to find a n action and solution. "
1,"When I report my work to my Boss in my job, the Pyramid Structure could help me organize my report."
0,"When I plan  new training, I use this.  "
